Product ID,Product Name,Category,Gender,Season,Style,Occasion,Color,Material,Price,Sizes,Description,Matching Suggestions,Uri
1,Beige Oversized Blazer,Blazer,Female,Spring / Autumn,"Smart casual, minimal","Presentation, office, campus event",Beige,Cotton blend,HKD 499,"S, M, L",A clean and elegant oversized blazer suitable for smart casual and semi-formal occasions.,Pairs well with white innerwear and straight-leg trousers.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/1.jpg
2,Stone Belted Trench Coat,Trench Coat,Female,Spring / Autumn,"Classic, urban","Commute, weekend outing, travel",Stone,Water-resistant polyester,HKD 699,"S, M, L",A lightweight belted trench coat that adds a polished layer for transitional weather.,"Style it with a striped tee, slim jeans, and loafers.",https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/2.jpg
3,Dusty Rose Soft Cardigan,Cardigan,Female,Spring / Autumn,"Soft casual, feminine","Campus, cafe date, daily wear",Dusty Rose,Viscose knit,HKD 359,"S, M, L",A soft-touch cardigan with a relaxed fit for easy layering in mild temperatures.,"Matches nicely with a camisole, pleated skirt, and ballet flats.",https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/3.jpg
4,Olive Ribbed Knit Dress,Knit Dress,Female,Autumn / Winter,"Elegant, cozy","Dinner, office, gathering",Olive,Rayon blend,HKD 469,"S, M, L",A ribbed knit dress that flatters the body while keeping the look warm and refined.,Pair it with ankle boots and a long wool coat.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/4.jpg
5,Navy Pleated Midi Skirt,Pleated Skirt,Female,Spring / Autumn,"Graceful, versatile","Office, brunch, museum visit",Navy,Polyester chiffon,HKD 329,"S, M, L",A flowing pleated midi skirt designed for movement and easy styling across occasions.,Wear it with a tucked-in blouse and low heels.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/5.jpg
6,Ivory Wide-Leg Trousers,Wide-Leg Trousers,Female,Spring / Summer,"Modern, minimal","Office, meeting, smart casual event",Ivory,Polyester blend,HKD 389,"S, M, L, XL",Tailored wide-leg trousers with a clean drape for a relaxed yet elevated silhouette.,Goes well with a fitted knit top and block-heel sandals.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/6.jpg
7,Sky Blue Linen Shirt,Linen Shirt,Female,Spring / Summer,"Effortless, clean","Vacation, office casual, weekend",Sky Blue,Linen,HKD 299,"S, M, L","A breathable linen shirt with a crisp feel, perfect for warm-weather layering.",Pair it with white shorts or straight jeans for a fresh look.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/7.jpg
8,Light Wash Cropped Denim Jacket,Denim Jacket,Female,Spring / Autumn,"Casual, youthful","Campus, concert, city stroll",Light Blue,Cotton denim,HKD 429,"S, M, L",A cropped denim jacket that adds structure and a playful edge to everyday outfits.,Layer it over a floral dress or tank top with sneakers.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/8.jpg
9,Cream Fleece Hoodie,Hoodie,Female,Autumn / Winter,"Relaxed, sporty","Travel, home, casual outing",Cream,Cotton fleece,HKD 279,"S, M, L",A warm fleece hoodie with a soft brushed interior for cozy daily wear.,"Best matched with leggings, joggers, or denim shorts.",https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/9.jpg
10,Charcoal Utility Jumpsuit,Jumpsuit,Female,Spring / Autumn,"Contemporary, utilitarian","Art fair, weekend outing, casual office",Charcoal,Cotton twill,HKD 559,"S, M, L",A one-piece utility jumpsuit combining practical details with a sleek modern shape.,Style it with white sneakers and a compact crossbody bag.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/10.jpg
11,Forest Green Polo Dress,Polo Dress,Female,Spring / Summer,"Preppy, sporty","Campus, casual Friday, picnic",Forest Green,Cotton pique,HKD 369,"S, M, L",A comfortable polo dress that blends sporty texture with a neat everyday profile.,Pair with canvas sneakers and a light cardigan.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/11.jpg
12,Champagne Satin Camisole,Camisole,Female,Spring / Summer,"Elegant, minimal","Date night, layering, dinner",Champagne,Polyester satin,HKD 239,"S, M, L",A smooth satin camisole with a subtle sheen for refined layering or standalone styling.,Looks polished with high-waist trousers and a cropped blazer.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/12.jpg
13,Khaki Hooded Parka,Parka,Female,Autumn / Winter,"Functional, casual","Travel, rainy day, weekend errand",Khaki,Nylon blend,HKD 749,"S, M, L",A hooded parka designed for light protection and everyday urban practicality.,"Works well with knitwear, jeans, and lace-up boots.",https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/13.jpg
14,Lavender Cropped Sweater,Cropped Sweater,Female,Autumn / Winter,"Playful, cozy","Campus, coffee meetup, casual date",Lavender,Acrylic blend,HKD 319,"S, M, L",A cropped sweater with a soft hand feel that brings a light and cheerful tone to cold days.,Pair it with a high-rise skirt or wide-leg jeans.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/14.jpg
15,White Chiffon Blouse,Blouse,Female,Spring / Summer,"Refined, airy","Office, presentation, formal lunch",White,Polyester chiffon,HKD 289,"S, M, L",An airy chiffon blouse with a graceful drape for polished daywear.,Tuck it into tailored pants or a pencil skirt.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/15.jpg
16,Black High-Waist Pencil Skirt,Pencil Skirt,Female,All Season,"Professional, sleek","Office, interview, business event",Black,Stretch ponte,HKD 349,"S, M, L",A high-waist pencil skirt that creates a sharp and flattering office-ready silhouette.,Combine it with a silk blouse and pointed flats.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/16.jpg
17,Sand Lightweight Utility Vest,Utility Vest,Female,Spring / Autumn,"Outdoor casual, practical","Travel, festival, weekend outing",Sand,Cotton blend,HKD 309,"S, M, L",A lightweight utility vest with functional pockets for layering in active settings.,Layer over a tee dress or long-sleeve top with cargo pants.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/17.jpg
18,Wine Quilted Jacket,Quilted Jacket,Female,Autumn / Winter,"Casual chic, warm","Weekend, market visit, commute",Wine,Polyester quilt,HKD 489,"S, M, L","A quilted jacket that offers warmth without bulk, finished in a rich seasonal shade.",Pair it with straight jeans and a ribbed turtleneck.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/18.jpg
19,Camel Slim Turtleneck Top,Turtleneck Top,Female,Autumn / Winter,"Minimal, polished","Office, layering, daily wear",Camel,Modal blend,HKD 219,"S, M, L",A slim turtleneck top ideal for layering under outerwear or knitwear in cooler months.,"Style with a midi skirt, trousers, or sleeveless dress.",https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/19.jpg
20,Mid Blue Straight Jeans,Straight Jeans,Female,All Season,"Casual, timeless","Daily wear, shopping, casual meetup",Mid Blue,Cotton denim,HKD 399,"XS, S, M, L",Straight-cut jeans with a balanced silhouette that work across seasons and trends.,"Pairs easily with tees, blouses, and ankle boots.",https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/20.jpg
21,Rust Floral Wrap Dress,Wrap Dress,Female,Spring / Summer,"Romantic, feminine","Brunch, date, garden party",Rust,Viscose,HKD 459,"S, M, L",A floral wrap dress that highlights the waist and brings movement to warm-weather dressing.,Wear it with strappy sandals and a woven handbag.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/21.jpg
22,Black Cropped Bomber Jacket,Bomber Jacket,Female,Spring / Autumn,"Street casual, cool","Concert, night out, weekend",Black,Nylon,HKD 519,"S, M, L",A cropped bomber jacket with a clean sporty edge for transitional styling.,Team it with a tank dress or cargo pants and sneakers.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/22.jpg
23,Heather Grey Midi Coat,Midi Coat,Female,Autumn / Winter,"Minimal, sophisticated","Commute, office, city outing",Heather Grey,Wool blend,HKD 899,"S, M, L",A structured midi coat that offers warmth and a streamlined silhouette for cooler days.,Layer over knitwear and tailored trousers for a polished outfit.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/23.jpg
24,Navy Tailored Culottes,Culottes,Female,Spring / Summer,"Smart casual, modern","Office casual, lunch, travel",Navy,Polyester blend,HKD 339,"S, M, L",Tailored culottes that combine the comfort of shorts with the appearance of a clean skirt-like shape.,Match with a tucked blouse and low block heels.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/24.jpg
25,Blush Relaxed Sweatshirt,Sweatshirt,Female,Autumn / Winter,"Casual, cozy","Home, travel, casual outing",Blush,Cotton terry,HKD 269,"S, M, L",A relaxed sweatshirt with a soft finish for easy comfort and everyday styling.,"Wear with biker shorts, jeans, or joggers.",https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/25.jpg
26,Blue Oxford Button-Down Shirt,Oxford Shirt,Male,All Season,"Classic, smart casual","Office, campus, dinner",Blue,Cotton oxford,HKD 329,"M, L, XL",A crisp oxford shirt designed for dependable everyday smart casual dressing.,Pairs well with chinos and leather sneakers.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/26.jpg
27,Khaki Slim Chino Pants,Chino Pants,Male,Spring / Autumn,"Clean, versatile","Office casual, weekend, date",Khaki,Cotton twill,HKD 379,"M, L, XL",Slim chino pants with a neat tapered leg for easy day-to-night wear.,Style with a polo shirt or button-down and loafers.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/27.jpg
28,Indigo Washed Denim Shirt,Denim Shirt,Male,Spring / Autumn,"Rugged casual, timeless","Weekend, travel, casual office",Indigo,Cotton denim,HKD 359,"M, L, XL",A washed denim shirt that brings texture and a laid-back masculine look to everyday outfits.,Layer over a white tee with black jeans.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/28.jpg
29,Green Varsity Jacket,Varsity Jacket,Male,Autumn / Winter,"Sporty, youthful","Campus, game day, casual outing",Green,Wool blend,HKD 599,"M, L, XL",A varsity jacket with contrast trim that adds a collegiate edge to cool-weather outfits.,Best matched with joggers or straight denim and sneakers.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/29.jpg
30,Cream Knit Polo Shirt,Knit Polo,Male,Spring / Summer,"Refined casual, retro","Resort, dinner, casual Friday",Cream,Cotton knit,HKD 349,"M, L, XL",A knit polo shirt combining breathable comfort with a slightly elevated vintage-inspired finish.,Wear with tailored shorts or linen trousers.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/30.jpg
31,Stone Cargo Shorts,Cargo Shorts,Male,Spring / Summer,"Utility, casual","Travel, outdoor walk, weekend errand",Stone,Cotton blend,HKD 299,"M, L, XL",Practical cargo shorts with roomy pockets for functional warm-weather dressing.,Pair with a graphic tee and sporty sandals.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/31.jpg
32,Navy Harrington Jacket,Harrington Jacket,Male,Spring / Autumn,"Classic, urban","Commute, dinner, city walk",Navy,Polyester cotton blend,HKD 529,"M, L, XL",A clean Harrington jacket that balances lightweight protection with timeless style.,Layer over a crewneck tee and tapered chinos.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/32.jpg
33,Charcoal Crewneck Sweater,Crewneck Sweater,Male,Autumn / Winter,"Minimal, cozy","Office casual, home gathering, travel",Charcoal,Merino wool blend,HKD 469,"M, L, XL",A fine-gauge crewneck sweater with understated polish for cooler seasons.,Matches well with wool trousers or dark denim.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/33.jpg
34,Olive Puffer Vest,Puffer Vest,Male,Autumn / Winter,"Outdoor casual, practical","Travel, layering, weekend",Olive,Recycled polyester,HKD 439,"M, L, XL",A lightweight puffer vest that adds warmth without restricting movement.,Layer over a hoodie or flannel shirt with jeans.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/34.jpg
35,Black Tailored Suit Trousers,Suit Trousers,Male,All Season,"Formal, sharp","Meeting, interview, ceremony",Black,Polyester rayon blend,HKD 429,"M, L, XL",Tailored suit trousers with a clean break and sleek finish for formal dressing.,Combine with a dress shirt and matching blazer.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/35.jpg
36,White Waffle Henley Shirt,Henley Shirt,Male,Spring / Autumn,"Relaxed, rugged","Weekend, travel, casual meetup",White,Cotton waffle knit,HKD 249,"M, L, XL",A textured henley shirt that adds subtle detail to a laid-back everyday look.,"Pair with cargo pants, denim, or joggers.",https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/36.jpg
37,Slate Lightweight Windbreaker,Windbreaker,Male,Spring / Autumn,"Sporty, functional","Running errands, commute, light outdoor use",Slate,Nylon,HKD 399,"M, L, XL",A lightweight windbreaker built for breezy days and on-the-go layering.,"Works with joggers, shorts, and running shoes.",https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/37.jpg
38,Red Black Check Flannel Shirt,Flannel Shirt,Male,Autumn / Winter,"Casual, outdoorsy","Camping, weekend, casual gathering",Red / Black,Brushed cotton,HKD 319,"M, L, XL",A soft flannel shirt in classic checks for warm and relaxed cold-season styling.,Layer over a plain tee with dark jeans and boots.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/38.jpg
39,Dark Grey Tapered Jogger Pants,Jogger Pants,Male,All Season,"Athleisure, casual","Gym commute, travel, lounge",Dark Grey,Cotton polyester blend,HKD 289,"M, L, XL","Tapered jogger pants designed for comfort, movement, and clean off-duty style.","Pair with a hoodie, bomber jacket, or training tee.",https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/39.jpg
40,Camel Wool Overcoat,Overcoat,Male,Autumn / Winter,"Elegant, formal","Office, dinner, winter commute",Camel,Wool blend,HKD 999,"M, L, XL",A structured wool overcoat that delivers warmth and a sophisticated silhouette.,Wear over a turtleneck or suit for a refined finish.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/40.jpg
41,Navy Stripe Rugby Shirt,Rugby Shirt,Male,Spring / Autumn,"Preppy, sporty","Campus, weekend, casual day out",Navy,Cotton jersey,HKD 339,"M, L, XL",A rugby shirt with bold stripes and a sturdy collar for casual heritage style.,Matches well with chinos and retro sneakers.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/41.jpg
42,Light Grey Seersucker Blazer,Seersucker Blazer,Male,Spring / Summer,"Smart casual, breathable","Garden party, office event, dinner",Light Grey,Cotton seersucker,HKD 649,"M, L, XL",A breathable seersucker blazer that keeps formal looks relaxed in warmer weather.,Style with a white tee or dress shirt and loafers.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/42.jpg
43,Brown Corduroy Jacket,Corduroy Jacket,Male,Autumn / Winter,"Vintage casual, textured","Weekend, cafe, city stroll",Brown,Cotton corduroy,HKD 559,"M, L, XL",A corduroy jacket with a soft ribbed texture that adds warmth and character.,Pair it with a knit tee and straight-leg trousers.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/43.jpg
44,Ivory Linen Drawstring Trousers,Linen Trousers,Male,Spring / Summer,"Resort, relaxed","Vacation, brunch, seaside walk",Ivory,Linen cotton blend,HKD 389,"M, L, XL",Relaxed linen trousers with a drawstring waist for breathable comfort in hot weather.,Wear with an open-collar shirt and espadrilles.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/44.jpg
45,Black Graphic Print T-Shirt,T-Shirt,Male,Spring / Summer,"Street casual, expressive","Concert, casual outing, daily wear",Black,Cotton jersey,HKD 199,"M, L, XL",A soft graphic T-shirt designed to add personality to simple casual outfits.,"Pairs well with cargo shorts, denim, or layered overshirts.",https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/45.jpg
46,Mocha Mock Neck Sweater,Mock Neck Sweater,Male,Autumn / Winter,"Modern, polished","Office, dinner, weekend",Mocha,Viscose nylon blend,HKD 399,"M, L, XL",A mock neck sweater offering a modern alternative to the classic crewneck for cooler days.,Looks sharp with tailored pants and Chelsea boots.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/46.jpg
47,Teal Zip Track Jacket,Track Jacket,Male,Spring / Autumn,"Sporty, retro","Travel, casual outing, athleisure",Teal,Polyester knit,HKD 359,"M, L, XL",A zip track jacket with a retro sports feel and easy everyday wearability.,Match with joggers or relaxed jeans and trainers.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/47.jpg
48,Sand Pleated Shorts,Pleated Shorts,Male,Spring / Summer,"Smart casual, clean","Brunch, vacation, summer event",Sand,Cotton blend,HKD 279,"M, L, XL",Pleated shorts that offer a tidier and more elevated alternative to basic casual shorts.,Wear with a knit polo and leather sandals.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/48.jpg
49,Midnight Down Parka,Down Parka,Male,Autumn / Winter,"Functional, warm","Cold commute, travel, outdoor use",Midnight,Down-filled nylon,HKD 1099,"M, L, XL",A down parka designed for strong insulation and dependable protection in colder weather.,Layer over thick knitwear with denim and winter boots.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/49.jpg
50,Sage Utility Overshirt,Utility Shirt,Male,Spring / Autumn,"Workwear, casual","Weekend, travel, layering",Sage,Cotton twill,HKD 409,"M, L, XL",A utility overshirt with practical pockets that works as both a shirt and light jacket.,Style over a plain tee with chinos or carpenter pants.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/50.jpg
51,Powder Blue Puff Sleeve Blouse,Puff Sleeve Blouse,Female,Spring / Summer,"Romantic, soft","Brunch, office casual, weekend",Powder Blue,Cotton poplin,HKD 309,"S, M, L",A puff sleeve blouse that adds volume and charm while remaining easy to dress up or down.,Style with slim trousers or an A-line skirt and low heels.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/51.jpg
52,Mauve Tiered Maxi Dress,Maxi Dress,Female,Spring / Summer,"Bohemian, graceful","Vacation, garden event, date",Mauve,Rayon,HKD 529,"S, M, L","A tiered maxi dress with fluid movement and a light, feminine mood for warm days.",Pair with flat sandals and a woven shoulder bag.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/52.jpg
53,Ash Grey Cropped Trench Jacket,Trench Jacket,Female,Spring / Autumn,"Modern, smart casual","Commute, city outing, dinner",Ash Grey,Polyester cotton blend,HKD 589,"S, M, L",A cropped trench-inspired jacket that delivers a structured silhouette without feeling heavy.,Wear it with a fitted knit top and high-waist jeans.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/53.jpg
54,Butter Yellow A-Line Skirt,A-Line Skirt,Female,Spring / Summer,"Fresh, youthful","Campus, cafe, picnic",Butter Yellow,Cotton blend,HKD 279,"S, M, L",A light A-line skirt that brightens everyday outfits with a cheerful seasonal color.,Matches nicely with a tucked-in tee and white sneakers.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/54.jpg
55,Grey Marl Knit Vest,Knit Vest,Female,Autumn / Winter,"Layered, preppy","Campus, office casual, daily wear",Grey Marl,Acrylic wool blend,HKD 249,"S, M, L",A sleeveless knit vest made for easy layering over shirts and dresses in cooler weather.,Layer over an oxford shirt with tailored shorts or trousers.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/55.jpg
56,Terracotta Paperbag Shorts,Paperbag Shorts,Female,Spring / Summer,"Casual chic, relaxed","Vacation, shopping, weekend",Terracotta,Linen blend,HKD 269,"S, M, L",Paperbag waist shorts that create a flattering shape while staying breathable in warm weather.,Pair with a fitted tank top and strappy sandals.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/56.jpg
57,Jet Black Slip Dress,Slip Dress,Female,All Season,"Minimal, elegant","Dinner, party, layered styling",Jet Black,Polyester satin,HKD 419,"S, M, L",A sleek slip dress with a clean neckline for understated evening or layered daytime looks.,Wear with a blazer and heels or layer over a tee.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/57.jpg
58,Mint Green Cropped Cardigan,Cropped Cardigan,Female,Spring / Autumn,"Soft, playful","Campus, casual date, daily wear",Mint Green,Viscose blend,HKD 289,"S, M, L",A cropped cardigan with a light knit texture for easy layering across mild seasons.,"Looks great with a camisole, denim skirt, and loafers.",https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/58.jpg
59,Oatmeal Relaxed Knit Pants,Knit Pants,Female,Autumn / Winter,"Cozy, lounge chic","Home, travel, coffee run",Oatmeal,Soft knit blend,HKD 339,"S, M, L",Relaxed knit pants that combine softness and polish for elevated comfort dressing.,Style with a matching sweater or fitted long-sleeve top.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/59.jpg
60,Coral Smocked Midi Dress,Smocked Dress,Female,Spring / Summer,"Feminine, airy","Beach holiday, brunch, resort",Coral,Cotton voile,HKD 499,"S, M, L",A smocked midi dress with light volume and breathable fabric for sunny-day wear.,Pair with espadrilles and a straw tote.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/60.jpg
61,Dark Olive Faux Leather Skirt,Leather Skirt,Female,Autumn / Winter,"Edgy, contemporary","Dinner, concert, night out",Dark Olive,Faux leather,HKD 359,"S, M, L",A sleek faux leather skirt that adds texture and attitude to cold-weather outfits.,Match with a fine knit top and knee-high boots.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/61.jpg
62,Ivory Lace Trim Top,Lace Top,Female,Spring / Summer,"Delicate, elegant","Date, tea gathering, office casual",Ivory,Cotton blend,HKD 259,"S, M, L",A lace-trim top that gives simple outfits a delicate and refined finish.,Wear it with wide-leg pants or a satin midi skirt.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/62.jpg
63,Denim Blue Shirt Dress,Shirt Dress,Female,Spring / Autumn,"Casual, neat","Weekend, travel, casual office",Denim Blue,Tencel denim,HKD 469,"S, M, L",A shirt dress with a relaxed shape and easy button-front styling for all-day comfort.,Pair it with sneakers and a canvas tote or belt it at the waist.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/63.jpg
64,Peach Softshell Jacket,Softshell Jacket,Female,Spring / Autumn,"Outdoor casual, functional","Travel, light hiking, rainy day",Peach,Softshell polyester,HKD 529,"S, M, L",A lightweight softshell jacket with gentle structure for active days and changing weather.,Layer over leggings and a performance tee.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/64.jpg
65,Black Flared Leggings,Leggings,Female,All Season,"Athleisure, flattering","Yoga, commute, casual outing",Black,Stretch nylon blend,HKD 239,"S, M, L",Flared leggings that blend comfort and a lengthening silhouette for active or casual wear.,Pair with a cropped hoodie or fitted tank top.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/65.jpg
66,Lilac Thermal Long Sleeve,Thermal Top,Female,Autumn / Winter,"Casual, cozy","Layering, travel, home",Lilac,Cotton thermal knit,HKD 199,"S, M, L",A thermal long-sleeve top that provides warmth and soft texture for cooler days.,"Works well under shackets, cardigans, or puffer vests.",https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/66.jpg
67,Warm Beige Teddy Coat,Teddy Coat,Female,Autumn / Winter,"Cozy, statement","Winter outing, travel, cafe",Warm Beige,Faux shearling,HKD 829,"S, M, L","A plush teddy coat that adds softness, warmth, and visual texture to winter looks.","Style with slim knitwear, jeans, and ankle boots.",https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/67.jpg
68,Seafoam Pleated Shorts,Pleated Shorts,Female,Spring / Summer,"Clean, preppy","Brunch, city walk, vacation",Seafoam,Cotton blend,HKD 249,"S, M, L",Pleated shorts with a neat front and lightweight feel for polished summer dressing.,Pair with a tucked blouse and loafers or sandals.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/68.jpg
69,Rose Brown Suede Biker Jacket,Biker Jacket,Female,Autumn / Winter,"Cool, urban","Concert, dinner, weekend outing",Rose Brown,Faux suede,HKD 639,"S, M, L",A biker jacket in soft faux suede that combines classic edge with a warmer seasonal finish.,Wear over a knit dress or tee and high-rise jeans.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/69.jpg
70,Cocoa Knit Midi Skirt,Knit Skirt,Female,Autumn / Winter,"Minimal, cozy","Office, dinner, daily wear",Cocoa,Ribbed knit blend,HKD 329,"S, M, L",A knit midi skirt with gentle stretch and a streamlined profile for colder seasons.,Team it with a turtleneck and knee boots.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/70.jpg
71,White Eyelet Summer Top,Eyelet Top,Female,Spring / Summer,"Fresh, feminine","Picnic, vacation, weekend",White,Cotton eyelet,HKD 279,"S, M, L",An eyelet top with breathable texture and soft detail for light summer styling.,Looks lovely with denim shorts or a linen skirt.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/71.jpg
72,Graphite Double-Breasted Coat,Double-Breasted Coat,Female,Autumn / Winter,"Tailored, sophisticated","Commute, office, formal outing",Graphite,Wool blend,HKD 959,"S, M, L",A double-breasted coat with a structured line for a sharp and refined winter wardrobe.,Layer over a blouse and tailored trousers for an elegant finish.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/72.jpg
73,Sandstone Wrap Knit Top,Wrap Top,Female,Spring / Autumn,"Smart casual, flattering","Office casual, lunch, date",Sandstone,Modal blend,HKD 269,"S, M, L",A wrap-style knit top that creates a defined waist and polished everyday shape.,Pair with wide-leg pants or a satin skirt.,https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/73.jpg
74,Berry Velvet Evening Dress,Evening Dress,Female,Autumn / Winter,"Elegant, festive","Party, dinner, celebration",Berry,Velvet blend,HKD 699,"S, M, L",A velvet evening dress with rich texture and a graceful silhouette for special occasions.,"Style with heels, a clutch, and delicate jewelry.",https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/74.jpg
75,Taupe Relaxed Cargo Pants,Cargo Pants,Female,Spring / Autumn,"Utility, street casual","Travel, weekend, concert",Taupe,Cotton twill,HKD 389,"S, M, L",Relaxed cargo pants with functional pocket details and a laid-back city attitude.,"Wear with a fitted tee, bomber jacket, and sneakers.",https://raw.githubusercontent.com/J0nathan1ei/IS5542/main/75.jpg
